"","URL","CollegeName","TuitionFeesThousands","RoomBoardThousands","TotalEnrollment","SchoolType","YearFounded","Setting","Endowment2017Millions","MedianStartingSalaryOfAlumniThousands","Selectivity","Fall2017AcceptanceRate","MalePercentage","FourYearGraduationRate","TotalCostThousands"
"1","https://www.usnews.com/best-colleges/princeton-university-2627","Princeton University",47.14,15.61,8273,"Private, Coed",1746,"Suburban",23400,68.4,"Most selective",0.06,0.51,0.89,62.75
"2","https://www.usnews.com/best-colleges/harvard-university-2155","Harvard University",50.42,17.16,20604,"Private, Coed",1636,"Urban",37100,66.5,"Most selective",0.05,0.52,0.84,67.58
"3","https://www.usnews.com/best-colleges/columbia-university-2707","Columbia University",59.43,14.016,25968,"Private, Coed",1754,"Urban",10000,64.9,"Most selective",0.06,0.52,0.88,73.446
"4","https://www.usnews.com/best-colleges/massachusetts-institute-of-technology-2178","Massachusetts Institute of Technology",51.832,15.51,11466,"Private, Coed",1861,"Urban",14800,79.8,"Most selective",0.07,0.54,0.85,67.342
"5","https://www.usnews.com/best-colleges/university-of-chicago-1774","University of Chicago",57.006,16.35,13736,"Private, Coed",1890,"Urban",6600,57.7,"Most selective",0.09,0.51,0.88,73.356
"6","https://www.usnews.com/best-colleges/yale-university-1426","Yale University",53.43,16,12974,"Private, Coed",1701,"City",27200,63.2,"Most selective",0.07,0.5,0.87,69.43
"7","https://www.usnews.com/best-colleges/stanford-university-1305","Stanford University",51.354,15.763,17178,"Private, Coed",1885,"Suburban",24800,70.7,"Most selective",0.05,0.5,0.75,67.117
"8","https://www.usnews.com/best-colleges/duke-university-2920","Duke University",55.96,15.944,16294,"Private, Coed",1838,"Suburban",7900,66.2,"Most selective",0.1,0.5,0.88,71.904
"9","https://www.usnews.com/best-colleges/university-of-pennsylvania-3378","University of Pennsylvania",55.584,15.616,21907,"Private, Coed",1740,"Urban",12200,66.1,"Most selective",0.09,0.49,0.86,71.2
"10","https://www.usnews.com/best-colleges/jhu-2077","Johns Hopkins University",53.74,15.836,25151,"Private, Coed",1876,"Urban",3700,63.4,"Most selective",0.12,0.48,0.88,69.576
"11","https://www.usnews.com/best-colleges/northwestern-university-1739","Northwestern University",54.567,16.626,21474,"Private, Coed",1851,"Suburban",7900,58.8,"Most selective",0.09,0.5,0.84,71.193
"12","https://www.usnews.com/best-colleges/california-institute-of-technology-1131","California Institute of Technology",52.362,15.525,2238,"Private, Coed",1891,"Suburban",2600,81,"Most selective",0.08,0.55,0.79,67.887
"13","https://www.usnews.com/best-colleges/dartmouth-college-2573","Dartmouth College",55.035,15.756,6509,"Private, Coed",1769,"Rural",5000,63.8,"Most selective",0.1,0.51,0.88,70.791
"14","https://www.usnews.com/best-colleges/brown-university-3401","Brown University",55.656,14.67,10095,"Private, Coed",1764,"City",3200,60.3,"Most selective",0.09,0.46,0.86,70.326
"15","https://www.usnews.com/best-colleges/vanderbilt-3535","Vanderbilt University",49.816,16.234,12592,"Private, Coed",1873,"Urban",4100,61.4,"Most selective",0.11,0.49,0.86,66.05
"16","https://www.usnews.com/best-colleges/cornell-university-2711","Cornell University",55.188,14.816,23016,"Private, Coed",1865,"Rural",6500,65,"Most selective",0.13,0.48,0.85,70.004
"17","https://www.usnews.com/best-colleges/rice-3604","Rice University",47.35,14,7022,"Private, Coed",1912,"Urban",5800,64.9,"Most selective",0.16,0.53,0.83,61.35
"18","https://www.usnews.com/best-colleges/university-of-notre-dame-1840","University of Notre Dame",53.391,15.41,12467,"Private, Coed",1842,"City",9700,62.7,"Most selective",0.19,0.53,0.9,68.801
"19","https://www.usnews.com/best-colleges/university-of-california-los-angeles-1315","University of California--Los Angeles",41.294,15.991,45428,"Public, Coed",1919,"Urban",4200,56.6,"Most selective",0.16,0.43,0.75,57.285
"20","https://www.usnews.com/best-colleges/washington-university-in-st-louis-2520","Washington University in St. Louis",53.399,16.44,15303,"Private, Coed",1853,"Suburban",7200,60.3,"Most selective",0.16,0.46,0.88,69.839
"21","https://www.usnews.com/best-colleges/emory-university-1564","Emory University",51.306,14.456,14273,"Private, Coed",1836,"City",7600,57.9,"Most selective",0.22,0.4,0.82,65.762
